1,Macsv5.Device3.Group3.B1PT1311A,Macsv5.Device3.Group3.B1PT1311A,Macsv5.Device3.Group3.B1PT1311A,1,1
2,Macsv5.Device3.Group3.B1PT1312A,Macsv5.Device3.Group3.B1PT1312A,Macsv5.Device3.Group3.B1PT1312A,1,1
3,Macsv5.Device3.Group3.B1PT1313A,Macsv5.Device3.Group3.B1PT1313A,Macsv5.Device3.Group3.B1PT1313A,1,1
4,Macsv5.Device3.Group3.B1PT1314A,Macsv5.Device3.Group3.B1PT1314A,Macsv5.Device3.Group3.B1PT1314A,1,1
5,Macsv5.Device3.Group3.B1PT1315A,Macsv5.Device3.Group3.B1PT1315A,Macsv5.Device3.Group3.B1PT1315A,1,1
6,Macsv5.Device3.Group3.B1PT1316A,Macsv5.Device3.Group3.B1PT1316A,Macsv5.Device3.Group3.B1PT1316A,1,1
7,Macsv5.Device3.Group3.B1PT1317A,Macsv5.Device3.Group3.B1PT1317A,Macsv5.Device3.Group3.B1PT1317A,1,1
8,Macsv5.Device3.Group3.B1PT1311B,Macsv5.Device3.Group3.B1PT1311B,Macsv5.Device3.Group3.B1PT1311B,1,1
9,Macsv5.Device3.Group3.B1PT1312B,Macsv5.Device3.Group3.B1PT1312B,Macsv5.Device3.Group3.B1PT1312B,1,1
10,Macsv5.Device3.Group3.B1PT1313B,Macsv5.Device3.Group3.B1PT1313B,Macsv5.Device3.Group3.B1PT1313B,1,1
11,Macsv5.Device3.Group3.B1PT1314B,Macsv5.Device3.Group3.B1PT1314B,Macsv5.Device3.Group3.B1PT1314B,1,1
12,Macsv5.Device3.Group3.B1PT1315B,Macsv5.Device3.Group3.B1PT1315B,Macsv5.Device3.Group3.B1PT1315B,1,1
13,Macsv5.Device3.Group3.B1PT1316B,Macsv5.Device3.Group3.B1PT1316B,Macsv5.Device3.Group3.B1PT1316B,1,1
14,Macsv5.Device3.Group3.B1PT1317B,Macsv5.Device3.Group3.B1PT1317B,Macsv5.Device3.Group3.B1PT1317B,1,1
15,Macsv5.Device3.Group3.B1FT1521,Macsv5.Device3.Group3.B1FT1521,Macsv5.Device3.Group3.B1FT1521,1,1
16,Macsv5.Device3.Group3.B1MF1031_CT,Macsv5.Device3.Group3.B1MF1031_CT,Macsv5.Device3.Group3.B1MF1031_CT,1,1
17,Macsv5.Device3.Group3.B1FT1522,Macsv5.Device3.Group3.B1FT1522,Macsv5.Device3.Group3.B1FT1522,1,1
18,Macsv5.Device3.Group3.B1PT1611,Macsv5.Device3.Group3.B1PT1611,Macsv5.Device3.Group3.B1PT1611,1,1
